has_csrf_token_in_form,has_csrf_token_in_header,has_samesite_cookie,has_origin_check,has_referer_check,http_method,is_state_changing,content_type,requires_auth,token_entropy,token_changes_per_request,response_sets_cookie,auth_mechanism,endpoint_sensitivity,is_vulnerable
0,0,None,0,0,GET,0,application/x-www-form-urlencoded,1,0.0,0,0,cookie,0.5505,1
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.8586,1
0,0,None,0,0,GET,0,application/x-www-form-urlencoded,1,0.0,0,0,cookie,0.8577,1
0,0,None,0,0,GET,0,multipart/form-data,1,0.0,0,1,cookie,0.8398,1
0,0,None,0,0,POST,1,multipart/form-data,1,0.0,0,0,cookie,0.8377,1
1,0,Strict,1,0,PUT,1,application/x-www-form-urlencoded,1,3.8212,1,1,cookie,0.3964,0
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.7348,1
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,0,cookie,0.9717,1
0,0,None,0,0,GET,0,multipart/form-data,1,0.0,0,1,cookie,0.5204,1
1,0,Lax,1,0,GET,0,multipart/form-data,1,4.2092,1,1,cookie,0.0465,0
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.9958,1
1,1,Lax,1,1,GET,0,multipart/form-data,1,4.0601,0,0,cookie,0.3021,0
0,0,absent,0,0,GET,0,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.774,1
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,0,cookie,0.8838,1
0,0,absent,0,0,PUT,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.6692,1
0,0,absent,0,0,PUT,1,multipart/form-data,1,0.0,0,1,cookie,0.883,1
1,0,None,0,0,PUT,1,application/x-www-form-urlencoded,1,1.0858,0,0,cookie,0.5464,1
1,0,None,0,0,POST,1,application/x-www-form-urlencoded,1,1.1992,0,1,cookie,0.7234,1
1,0,Strict,1,1,POST,1,application/x-www-form-urlencoded,1,4.0145,1,0,cookie,0.3158,0
0,0,absent,0,0,POST,1,multipart/form-data,1,0.0,0,1,cookie,0.8026,1
1,0,Lax,1,0,POST,1,application/x-www-form-urlencoded,1,4.9449,1,0,cookie,0.1099,0
0,0,None,0,0,POST,1,multipart/form-data,1,0.0,0,1,cookie,0.9842,1
0,0,absent,0,0,PUT,1,multipart/form-data,1,0.0,0,0,cookie,0.9012,1
1,0,Lax,1,1,GET,0,multipart/form-data,1,3.3992,1,1,cookie,0.3013,0
1,1,Lax,0,0,POST,1,application/x-www-form-urlencoded,1,4.4346,1,0,cookie,0.2787,0
0,0,None,0,0,PUT,1,multipart/form-data,1,0.0,0,1,cookie,0.812,1
1,0,Strict,1,1,POST,1,application/x-www-form-urlencoded,1,3.6384,1,1,cookie,0.2521,0
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.5809,1
1,0,Lax,1,1,POST,1,multipart/form-data,1,4.8054,0,0,cookie,0.2532,0
1,0,Strict,1,0,GET,0,multipart/form-data,1,4.9092,0,0,cookie,0.2128,0
1,1,Lax,0,0,POST,1,multipart/form-data,1,3.9662,1,0,cookie,0.1972,0
0,0,None,0,0,POST,1,multipart/form-data,1,0.0,0,1,cookie,0.8705,1
1,0,Strict,0,0,POST,1,application/x-www-form-urlencoded,1,4.9134,1,0,cookie,0.127,0
