has_csrf_token_in_form,has_csrf_token_in_header,has_samesite_cookie,has_origin_check,has_referer_check,http_method,is_state_changing,content_type,requires_auth,token_entropy,token_changes_per_request,response_sets_cookie,auth_mechanism,endpoint_sensitivity,is_vulnerable
0,0,None,0,0,DELETE,1,text/plain,1,0.0,0,0,none,0.6149,1
1,1,Lax,0,1,GET,0,application/json,1,3.3113,1,0,header_only,0.0703,0
0,0,None,0,0,PATCH,1,application/json,1,0.0,0,0,mixed,0.3324,1
0,0,None,0,0,PUT,1,application/json,1,0.0,0,1,cookie,0.6907,1
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,0,0.0,0,1,none,0.7871,1
1,1,Lax,0,1,GET,0,application/x-www-form-urlencoded,0,4.2628,1,1,cookie,0.5001,0
0,0,None,0,0,DELETE,1,text/plain,0,0.0,0,1,cookie,0.6936,1
0,0,None,0,0,GET,0,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.6531,1
1,1,Lax,0,0,GET,0,text/plain,1,4.051,1,0,header_only,0.3004,0
1,1,Lax,0,1,POST,1,text/plain,1,5.2815,1,1,cookie,0.5539,0
1,0,Lax,0,0,DELETE,1,multipart/form-data,1,3.9663,0,0,mixed,0.6764,0
1,0,Strict,1,0,PUT,1,application/json,1,3.7685,1,1,header_only,0.6272,0
1,1,Strict,0,0,PATCH,1,application/json,0,5.1692,1,1,header_only,0.649,0
0,1,Lax,0,1,PATCH,1,multipart/form-data,1,3.9577,1,1,mixed,0.6175,0
1,0,None,0,1,POST,1,text/plain,1,4.6195,0,0,mixed,0.5812,0
1,1,Strict,1,1,PUT,1,multipart/form-data,0,4.2377,1,1,mixed,0.3834,0
1,0,Strict,0,1,PUT,1,application/x-www-form-urlencoded,0,4.2592,1,0,none,0.3678,0
0,1,Strict,0,1,DELETE,1,application/json,0,3.9693,1,0,header_only,0.6496,0
0,0,absent,0,0,POST,1,multipart/form-data,0,0.0,0,1,mixed,0.4451,1
1,0,Lax,1,0,PUT,1,multipart/form-data,0,4.8825,1,1,cookie,0.2635,0
0,0,None,0,0,DELETE,1,application/x-www-form-urlencoded,0,0.0,0,0,cookie,0.4377,1
1,1,Strict,1,0,DELETE,1,multipart/form-data,1,3.5974,1,0,mixed,0.0009,0
1,1,Lax,0,0,PATCH,1,application/json,1,3.0419,1,1,none,0.3582,0
1,0,Lax,1,0,PUT,1,application/json,1,3.1295,1,1,cookie,0.0713,0
0,0,absent,0,0,DELETE,1,application/x-www-form-urlencoded,1,0.0,0,0,mixed,0.8742,1
0,1,Lax,1,0,PATCH,1,application/x-www-form-urlencoded,1,5.6374,1,0,mixed,0.3783,0
0,0,None,0,0,DELETE,1,application/json,1,0.0,0,1,none,0.7463,1
1,1,Strict,1,0,POST,1,application/json,1,4.3457,1,1,cookie,0.407,0
1,0,Strict,0,0,GET,0,text/plain,1,5.1021,1,1,none,0.6003,0
0,0,Lax,1,0,POST,1,application/json,1,4.3886,1,0,mixed,0.3081,0
1,0,Lax,1,0,PATCH,1,multipart/form-data,1,4.471,1,0,cookie,0.509,0
0,0,None,0,0,PATCH,1,multipart/form-data,1,0.0,0,0,none,0.4519,1
1,1,Lax,0,0,DELETE,1,application/x-www-form-urlencoded,0,3.268,1,0,cookie,0.2435,0
0,0,None,0,0,POST,1,text/plain,1,0.0,0,0,cookie,0.5667,1
1,1,Strict,1,0,GET,0,text/plain,1,3.8734,1,0,none,0.3598,0
0,0,None,0,0,POST,1,text/plain,0,0.0,0,1,none,0.4735,1
0,0,absent,0,0,POST,1,application/json,0,0.0,0,0,mixed,0.535,1
1,0,Strict,1,1,POST,1,text/plain,1,4.09,0,1,mixed,0.3934,0
0,1,Lax,0,1,POST,1,application/x-www-form-urlencoded,1,4.2968,1,0,none,0.329,0
1,0,Lax,1,0,POST,1,application/x-www-form-urlencoded,1,4.1623,1,1,header_only,0.5979,0
0,0,None,0,0,PUT,1,application/x-www-form-urlencoded,0,0.0,0,0,mixed,0.4024,1
0,1,Lax,1,0,POST,1,text/plain,1,3.2033,1,1,cookie,0.0638,0
1,0,Strict,1,1,PUT,1,text/plain,1,3.0864,1,1,none,0.1554,0
1,1,Strict,1,0,PATCH,1,application/json,0,5.5799,1,1,header_only,0.4544,0
0,0,None,0,0,GET,0,application/json,1,0.0,0,1,none,0.8903,1
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,0,0.0,0,0,none,0.8238,1
0,0,None,0,0,GET,0,application/json,1,0.0,0,1,cookie,0.6301,1
1,1,Strict,1,1,PUT,1,multipart/form-data,0,5.7383,1,1,cookie,0.5792,0
0,1,Lax,1,1,PUT,1,application/x-www-form-urlencoded,1,4.6186,1,0,header_only,0.6375,0
1,0,Lax,0,1,DELETE,1,multipart/form-data,1,3.4915,1,1,header_only,0.6146,0
0,1,Strict,1,1,PATCH,1,application/json,1,5.102,1,1,mixed,0.6716,0
0,1,Strict,1,0,POST,1,application/x-www-form-urlencoded,1,4.0162,1,0,none,0.224,0
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,0,0.0,0,1,mixed,0.4707,1
0,0,None,0,0,GET,0,application/json,1,0.0,0,0,cookie,0.8058,1
0,1,Lax,1,1,DELETE,1,application/json,1,5.3262,1,1,mixed,0.3432,0
0,1,Lax,0,1,POST,1,application/json,0,3.3472,1,1,none,0.0816,0
0,0,None,0,0,DELETE,1,text/plain,1,0.0,0,0,cookie,0.202,1
0,0,None,0,0,GET,0,multipart/form-data,1,0.0,0,1,cookie,0.8067,1
0,1,Strict,1,1,POST,1,application/x-www-form-urlencoded,0,3.9519,1,0,cookie,0.2842,0
0,0,absent,0,0,DELETE,1,application/json,0,0.0,0,0,cookie,0.6855,1
0,1,Lax,1,1,POST,1,application/json,0,5.493,1,0,cookie,0.3412,0
1,1,Lax,0,1,PUT,1,application/x-www-form-urlencoded,0,3.0514,1,0,header_only,0.4492,0
0,0,None,0,0,PUT,1,text/plain,1,0.0,0,1,cookie,0.9411,1
1,1,Strict,1,1,DELETE,1,application/json,1,5.3711,1,1,header_only,0.682,0
0,0,absent,0,0,POST,1,multipart/form-data,0,0.0,0,0,mixed,0.7276,1
0,0,None,0,0,POST,1,application/json,0,0.0,0,0,cookie,0.3036,1
0,1,Strict,1,0,GET,0,application/json,1,3.6279,1,0,mixed,0.02,0
0,0,None,0,0,POST,1,multipart/form-data,1,0.0,0,0,none,0.8509,1
0,0,None,0,0,POST,1,application/json,1,0.0,0,0,none,0.3038,1
1,1,Strict,1,1,POST,1,multipart/form-data,0,4.3639,1,0,header_only,0.4685,0
1,0,None,0,0,GET,0,application/x-www-form-urlencoded,1,2.3915,0,1,cookie,0.3664,1
0,0,absent,0,0,PATCH,1,application/json,0,0.0,0,0,mixed,0.2409,1
1,1,Lax,1,1,GET,0,application/json,0,3.0686,1,0,header_only,0.3418,0
0,1,absent,0,0,PUT,1,multipart/form-data,1,0.0,0,0,none,0.7268,1
0,0,Lax,0,1,PUT,1,application/x-www-form-urlencoded,1,5.2003,1,1,mixed,0.6306,0
1,1,Strict,0,1,DELETE,1,application/x-www-form-urlencoded,1,3.0568,1,0,cookie,0.621,0
0,0,None,0,0,GET,0,multipart/form-data,1,0.0,0,1,cookie,0.7679,1
1,0,Lax,1,0,PATCH,1,multipart/form-data,0,3.7013,1,0,header_only,0.0618,0
1,0,Strict,1,1,PATCH,1,application/x-www-form-urlencoded,1,5.3689,1,1,none,0.3603,0
1,1,Strict,0,1,GET,0,application/x-www-form-urlencoded,1,3.9912,1,1,cookie,0.1187,0
1,1,Strict,1,1,PUT,1,text/plain,1,3.0562,1,1,cookie,0.506,0
1,1,Lax,0,1,DELETE,1,multipart/form-data,1,3.691,1,1,none,0.3138,0
1,1,Lax,0,0,PUT,1,application/json,0,3.0458,1,0,mixed,0.0234,0
0,1,Lax,1,1,PATCH,1,multipart/form-data,1,4.1272,1,1,cookie,0.3618,0
0,0,absent,0,0,PUT,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.4559,1
0,0,Lax,1,0,PATCH,1,application/json,1,4.1954,1,1,none,0.0831,0
1,1,Lax,1,0,POST,1,application/x-www-form-urlencoded,1,4.7232,1,0,none,0.3562,0
1,0,Lax,0,1,PUT,1,application/x-www-form-urlencoded,0,3.3086,1,0,cookie,0.4158,0
0,0,absent,0,0,DELETE,1,multipart/form-data,1,0.0,0,1,cookie,0.3928,1
1,0,Lax,1,1,PUT,1,application/json,0,1.4108,1,1,mixed,0.583,1
0,1,Strict,1,1,PUT,1,application/json,1,3.4564,1,0,none,0.4658,0
1,1,Strict,1,0,PATCH,1,application/json,1,4.3445,1,1,none,0.5623,0
0,0,None,0,0,PUT,1,application/x-www-form-urlencoded,1,0.0,0,0,cookie,0.7364,1
1,0,Strict,0,1,DELETE,1,application/json,0,5.4186,1,0,mixed,0.5715,0
1,1,Lax,1,0,DELETE,1,multipart/form-data,0,4.8855,1,0,none,0.6654,0
0,1,Strict,1,1,DELETE,1,application/json,1,4.0715,1,0,mixed,0.671,0
1,1,Lax,1,0,POST,1,application/json,0,3.1246,1,1,mixed,0.6494,0
1,1,Lax,1,0,POST,1,text/plain,0,5.3459,1,1,header_only,0.2439,0
1,1,Strict,1,1,POST,1,text/plain,1,5.5318,1,0,header_only,0.4843,0
1,1,Lax,1,1,PATCH,1,multipart/form-data,0,5.0541,1,1,cookie,0.4019,0
1,0,absent,0,1,POST,1,application/json,1,2.4472,1,0,cookie,0.2762,1
1,0,Lax,0,0,POST,1,application/json,1,3.9485,1,1,cookie,0.0614,0
1,0,Lax,0,1,POST,1,text/plain,1,3.6486,1,1,cookie,0.2489,0
1,1,Strict,1,0,DELETE,1,multipart/form-data,1,4.4245,1,0,header_only,0.2346,0
0,0,absent,0,0,DELETE,1,application/json,0,0.0,0,1,none,0.2432,1
1,0,Lax,1,1,PUT,1,application/json,0,3.0472,1,1,mixed,0.1244,0
1,1,Strict,1,1,PUT,1,text/plain,1,3.515,1,0,mixed,0.5501,0
0,1,Lax,1,1,POST,1,application/x-www-form-urlencoded,1,3.4354,1,1,none,0.4929,0
0,0,Strict,1,1,POST,1,application/json,0,3.9791,1,0,mixed,0.501,0
0,1,Lax,1,1,PATCH,1,application/x-www-form-urlencoded,1,3.4729,0,1,none,0.3711,0
0,0,absent,0,0,PATCH,1,text/plain,1,0.0,0,0,cookie,0.6093,1
0,0,absent,0,0,PATCH,1,multipart/form-data,0,0.0,0,1,cookie,0.8567,1
0,0,None,0,0,GET,0,application/json,1,0.0,0,0,cookie,0.3159,1
1,1,Lax,1,0,DELETE,1,application/json,0,4.1747,1,1,header_only,0.0239,0
0,0,None,0,0,DELETE,1,application/json,0,0.0,0,1,cookie,0.2667,1
0,0,absent,0,0,POST,1,text/plain,0,0.0,0,1,none,0.7408,1
0,0,Lax,0,0,GET,0,text/plain,1,5.3162,1,0,mixed,0.3069,0
1,0,Lax,1,0,GET,0,application/x-www-form-urlencoded,1,4.2531,1,1,cookie,0.0495,0
1,1,Lax,0,0,POST,1,application/x-www-form-urlencoded,1,5.7488,1,0,none,0.6668,0
1,1,Strict,1,1,POST,1,application/json,1,4.0459,1,0,cookie,0.6101,0
0,1,Lax,1,1,POST,1,text/plain,1,3.5557,1,0,mixed,0.635,0
1,1,None,1,1,DELETE,1,text/plain,1,4.4952,1,1,cookie,0.3659,0
0,0,None,0,0,DELETE,1,text/plain,1,0.0,0,0,mixed,0.9083,1
0,0,None,0,0,DELETE,1,application/json,0,0.0,0,0,cookie,0.464,1
1,0,Lax,0,0,POST,1,multipart/form-data,1,5.2221,1,1,mixed,0.6891,0
0,0,None,0,0,DELETE,1,multipart/form-data,1,0.0,0,1,mixed,0.8539,1
1,0,Strict,0,0,POST,1,application/json,1,3.3776,1,0,mixed,0.2445,0
1,0,Strict,1,1,DELETE,1,text/plain,1,4.6341,1,1,header_only,0.0119,0
1,0,None,0,0,POST,1,application/json,0,1.7092,0,0,cookie,0.9214,1
0,0,None,0,0,POST,1,application/json,1,0.0,0,1,cookie,0.6497,1
0,1,Strict,1,0,PUT,1,multipart/form-data,1,3.0384,1,1,none,0.3228,0
1,1,Lax,1,1,POST,1,multipart/form-data,1,3.5521,1,1,mixed,0.0069,0
0,0,None,0,0,PUT,1,multipart/form-data,0,0.0,0,0,cookie,0.2319,1
1,1,Strict,0,0,POST,1,application/x-www-form-urlencoded,0,4.8378,1,1,mixed,0.4775,0
0,0,absent,0,0,POST,1,application/json,1,0.0,0,1,mixed,0.796,1
0,0,None,0,0,POST,1,multipart/form-data,1,0.0,0,0,mixed,0.5166,1
0,0,None,0,0,GET,0,multipart/form-data,1,0.0,0,1,cookie,0.3294,1
1,0,Lax,1,0,PUT,1,application/x-www-form-urlencoded,1,4.2669,0,1,mixed,0.6405,0
0,0,absent,0,0,POST,1,application/json,1,0.0,0,1,cookie,0.5023,1
0,1,absent,1,1,POST,1,multipart/form-data,1,0.0,0,1,cookie,0.7076,1
0,1,Lax,0,0,POST,1,text/plain,1,4.7627,0,0,cookie,0.557,0
0,0,absent,0,0,PATCH,1,application/json,1,0.0,0,0,cookie,0.215,1
1,1,Strict,1,0,POST,1,multipart/form-data,0,4.0911,1,1,header_only,0.1533,0
0,0,absent,0,0,PATCH,1,application/json,0,0.0,0,1,none,0.9289,1
0,1,Strict,0,1,GET,0,application/x-www-form-urlencoded,1,5.2511,1,1,none,0.1226,0
0,0,Lax,1,0,PATCH,1,multipart/form-data,1,5.6518,0,1,none,0.3764,0
1,0,Strict,0,1,PUT,1,multipart/form-data,1,3.375,1,1,none,0.5966,0
1,0,Lax,1,0,PUT,1,application/json,1,5.2383,1,1,cookie,0.1422,0
