has_csrf_token_in_form,has_csrf_token_in_header,has_samesite_cookie,has_origin_check,has_referer_check,http_method,is_state_changing,content_type,requires_auth,token_entropy,token_changes_per_request,response_sets_cookie,auth_mechanism,endpoint_sensitivity,is_vulnerable
1,1,Lax,1,1,PUT,1,application/x-www-form-urlencoded,1,4.291,1,0,cookie,0.5292,0
1,0,Strict,1,0,PUT,0,text/plain,1,5.0456,1,0,cookie,0.522,0
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,0,mixed,0.7718,1
1,0,Lax,1,0,PUT,1,application/json,1,4.7496,1,0,cookie,0.1608,0
0,0,absent,0,0,POST,1,application/json,1,0.0,0,1,cookie,0.4041,1
0,0,absent,0,0,DELETE,1,application/json,1,0.0,0,0,cookie,0.5348,1
0,0,absent,0,0,PUT,1,multipart/form-data,1,0.0,0,1,cookie,0.5569,1
0,0,absent,0,0,PUT,1,multipart/form-data,1,0.0,0,1,cookie,0.6143,1
1,0,Strict,0,0,GET,0,application/json,1,5.225,1,1,cookie,0.0797,0
1,1,Strict,0,0,DELETE,0,text/plain,0,4.9519,1,0,none,0.4637,0
0,1,None,1,1,PUT,0,text/plain,0,2.122,1,0,cookie,0.6926,0
1,1,Strict,1,0,POST,1,text/plain,1,4.283,1,1,header_only,0.4757,0
1,0,Lax,1,1,GET,1,application/json,1,5.4702,1,1,none,0.5958,0
1,1,Strict,0,0,PUT,1,application/json,1,3.841,1,0,mixed,0.4741,0
1,0,Strict,1,1,POST,0,multipart/form-data,1,4.9017,1,1,mixed,0.343,0
1,0,Strict,0,0,PUT,0,text/plain,1,3.7323,1,1,none,0.1622,0
1,1,Strict,1,1,GET,0,multipart/form-data,1,4.6521,1,1,header_only,0.6418,0
0,0,absent,0,0,POST,1,multipart/form-data,1,0.0,0,1,mixed,0.677,1
0,0,Lax,1,1,POST,0,text/plain,0,2.766,0,1,header_only,0.2914,0
0,0,absent,0,0,PATCH,1,application/json,1,0.0,0,1,cookie,0.9984,1
1,1,Strict,1,0,POST,1,application/json,1,4.3277,1,1,mixed,0.1663,0
0,0,None,0,0,PATCH,1,application/x-www-form-urlencoded,1,0.0,0,0,mixed,0.9681,1
0,0,absent,0,0,POST,1,multipart/form-data,1,0.0,0,0,cookie,0.6481,1
0,0,None,0,0,POST,1,application/json,1,0.0,0,1,cookie,0.4933,1
0,0,absent,0,0,PATCH,1,application/x-www-form-urlencoded,1,0.0,0,1,mixed,0.7575,1
0,0,absent,0,0,POST,1,application/json,1,0.0,0,1,cookie,0.6757,1
1,0,Lax,1,0,POST,1,multipart/form-data,1,3.4027,0,1,none,0.5132,0
1,0,Strict,0,1,POST,1,text/plain,0,3.5407,1,1,header_only,0.697,0
0,0,None,0,0,PATCH,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.498,1
1,1,Lax,1,0,POST,0,application/json,0,5.7464,1,1,none,0.5988,0
1,1,Lax,1,1,PUT,1,application/x-www-form-urlencoded,1,4.895,1,1,cookie,0.514,0
1,1,Lax,1,1,PUT,0,text/plain,0,2.3559,0,1,cookie,0.1007,0
0,0,absent,0,0,DELETE,1,application/json,1,0.0,0,1,cookie,0.6758,1
1,0,Lax,1,1,POST,1,text/plain,1,5.9317,1,1,none,0.5549,0
