has_csrf_token_in_form,has_csrf_token_in_header,has_samesite_cookie,has_origin_check,has_referer_check,http_method,is_state_changing,content_type,requires_auth,token_entropy,token_changes_per_request,response_sets_cookie,auth_mechanism,endpoint_sensitivity,is_vulnerable
1,1,Strict,1,0,DELETE,1,multipart/form-data,1,4.4245,1,0,header_only,0.2346,0
0,0,absent,0,0,POST,1,application/json,1,0.0,0,1,cookie,0.7002,1
0,0,None,0,0,POST,1,application/json,1,0.0,0,1,cookie,0.4021,1
1,1,Strict,0,1,DELETE,0,text/plain,1,4.0581,1,1,header_only,0.1244,0
0,0,absent,0,0,PUT,1,multipart/form-data,1,0.0,0,1,mixed,0.6732,1
1,1,Strict,1,1,PUT,1,application/x-www-form-urlencoded,1,3.947,0,0,cookie,0.3314,0
1,0,Lax,1,1,POST,1,application/json,0,5.6424,1,0,header_only,0.5751,0
0,0,None,0,0,PATCH,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.5027,1
0,0,absent,0,0,GET,0,multipart/form-data,1,0.0,0,1,cookie,0.914,1
0,0,None,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.7331,1
1,1,Lax,1,1,PUT,0,multipart/form-data,0,5.1862,1,1,mixed,0.4603,0
0,0,absent,0,0,GET,0,multipart/form-data,1,0.0,0,0,cookie,0.6964,1
1,1,Lax,1,1,POST,1,application/json,1,5.1341,1,0,cookie,0.3384,0
0,0,None,0,0,POST,1,multipart/form-data,1,0.0,0,1,cookie,0.6403,1
0,1,absent,0,1,POST,0,application/json,1,2.6334,0,1,mixed,0.0716,0
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.7053,1
0,0,None,0,0,POST,1,multipart/form-data,1,0.0,0,0,cookie,0.9751,1
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,0,cookie,0.9717,1
0,0,absent,0,0,PUT,1,multipart/form-data,1,0.0,0,0,cookie,0.4626,1
0,0,absent,0,0,GET,0,multipart/form-data,1,0.0,0,1,cookie,0.5426,1
0,1,Lax,0,1,POST,1,multipart/form-data,0,5.3418,1,0,header_only,0.2201,0
0,0,absent,0,0,DELETE,1,application/x-www-form-urlencoded,1,0.0,0,1,mixed,0.7162,1
0,0,absent,0,0,PUT,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.5149,1
1,0,Strict,0,0,GET,0,application/json,0,3.0018,1,1,cookie,0.6494,0
1,1,Strict,0,0,DELETE,1,multipart/form-data,1,5.0096,1,1,mixed,0.5655,0
0,0,absent,0,0,PUT,1,application/json,1,0.0,0,1,mixed,0.8743,1
1,0,Lax,1,1,PUT,1,application/json,0,1.4108,1,1,mixed,0.583,1
0,0,absent,0,0,GET,0,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.388,1
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,0,cookie,0.757,1
1,0,Lax,0,1,POST,1,application/json,1,3.9684,1,0,mixed,0.2897,0
0,0,absent,0,0,PUT,1,application/json,1,0.0,0,1,cookie,0.6729,1
1,0,Strict,0,1,POST,0,multipart/form-data,1,4.387,1,1,mixed,0.6398,0
0,0,None,0,0,PATCH,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.4343,1
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,1,mixed,0.312,1
1,0,Lax,1,1,POST,1,application/json,0,3.914,1,0,header_only,0.1102,0
1,1,Strict,0,0,PATCH,1,application/json,0,5.1692,1,1,header_only,0.649,0
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.6934,1
0,0,absent,0,0,DELETE,1,multipart/form-data,1,0.0,0,0,mixed,0.4307,1
1,0,Strict,0,1,POST,1,application/x-www-form-urlencoded,1,3.6834,1,1,cookie,0.3949,0
0,0,absent,0,0,POST,1,multipart/form-data,1,0.0,0,0,cookie,0.8255,1
0,0,None,0,0,POST,1,application/json,1,0.0,0,0,cookie,0.9492,1
0,0,absent,0,0,POST,1,application/json,1,0.0,0,1,cookie,0.9195,1
0,0,None,0,0,DELETE,1,application/json,1,0.0,0,0,cookie,0.9175,1
0,0,absent,0,0,PUT,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.95,1
0,0,None,0,0,GET,0,multipart/form-data,1,0.0,0,1,cookie,0.5204,1
0,0,None,0,0,PUT,1,multipart/form-data,1,0.0,0,1,cookie,0.5487,1
1,1,Strict,1,0,DELETE,1,application/json,1,4.9099,1,0,cookie,0.3506,0
1,1,Strict,0,0,PUT,0,text/plain,1,4.937,1,0,header_only,0.3427,0
0,0,absent,0,0,DELETE,1,multipart/form-data,1,0.0,0,1,mixed,0.8544,1
1,1,Lax,1,0,POST,1,application/json,0,4.0657,1,1,mixed,0.2638,0
0,0,absent,0,0,GET,0,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.5957,1
0,0,absent,0,0,GET,0,application/x-www-form-urlencoded,1,0.0,0,1,mixed,0.9361,1
1,0,Strict,0,0,POST,0,multipart/form-data,1,5.2536,1,1,header_only,0.533,0
0,0,absent,0,0,GET,0,application/x-www-form-urlencoded,1,0.0,0,1,none,0.5969,1
0,0,None,0,0,PATCH,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.9258,1
0,0,Lax,1,0,POST,1,application/json,1,4.3886,1,0,mixed,0.3081,0
0,0,None,0,0,PUT,1,application/json,1,0.0,0,1,mixed,0.9234,1
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.867,1
0,0,None,0,0,POST,1,application/json,1,0.0,0,1,cookie,0.8804,1
0,0,None,0,0,GET,0,application/x-www-form-urlencoded,1,0.0,0,1,mixed,0.4464,1
1,0,Strict,1,0,DELETE,1,application/json,1,4.1204,1,0,mixed,0.1438,0
1,1,Strict,1,1,POST,1,application/json,1,4.0459,1,0,cookie,0.6101,0
1,0,None,0,0,POST,1,application/x-www-form-urlencoded,1,1.377,0,1,mixed,0.3077,1
0,0,Lax,1,1,GET,0,multipart/form-data,1,4.0093,1,1,none,0.3117,0
1,0,Strict,1,0,DELETE,0,application/json,1,4.7443,1,0,mixed,0.4924,0
1,0,Lax,1,0,POST,1,multipart/form-data,1,4.5247,1,1,mixed,0.3239,0
0,0,absent,0,0,POST,1,application/json,1,0.0,0,1,cookie,0.7714,1
1,1,Strict,1,0,POST,1,application/x-www-form-urlencoded,1,4.3676,1,1,cookie,0.3003,0
1,0,Strict,1,1,GET,1,multipart/form-data,1,3.6264,1,1,none,0.3536,0
0,0,None,0,0,GET,0,application/x-www-form-urlencoded,1,0.0,0,0,mixed,0.7922,1
1,1,Lax,1,1,POST,1,multipart/form-data,1,3.5521,1,1,mixed,0.0069,0
1,1,Lax,1,0,POST,1,application/json,0,4.1615,1,0,cookie,0.4078,0
1,1,Strict,0,0,POST,1,text/plain,1,3.8081,1,0,mixed,0.147,0
0,0,absent,0,0,PUT,1,application/x-www-form-urlencoded,1,0.0,0,1,mixed,0.4949,1
0,0,None,0,0,PUT,1,multipart/form-data,1,0.0,0,1,cookie,0.6875,1
1,0,Strict,1,1,POST,0,multipart/form-data,1,3.5947,1,0,header_only,0.6377,0
1,0,Strict,1,1,DELETE,1,application/json,1,4.9922,1,1,cookie,0.5488,0
1,0,Lax,1,1,POST,1,multipart/form-data,1,3.7615,0,1,mixed,0.4643,0
1,1,Strict,0,0,POST,1,application/json,1,5.0623,1,1,none,0.3001,0
1,1,Strict,1,0,PUT,1,multipart/form-data,0,5.4656,1,0,cookie,0.3583,0
1,0,Strict,1,0,GET,0,application/x-www-form-urlencoded,0,4.924,1,1,mixed,0.5513,0
1,0,Strict,1,1,POST,1,text/plain,1,5.3315,1,1,none,0.071,0
0,0,None,0,0,DELETE,1,text/plain,1,0.0,0,1,none,0.955,1
0,0,absent,0,0,PATCH,1,multipart/form-data,0,0.0,0,1,none,0.8073,1
1,0,Lax,1,1,PUT,1,application/json,1,4.4595,1,1,cookie,0.3527,0
1,0,Strict,0,0,GET,0,application/x-www-form-urlencoded,1,3.1742,0,0,cookie,0.3162,0
1,1,Lax,1,0,DELETE,1,multipart/form-data,0,4.8855,1,0,none,0.6654,0
1,0,Strict,0,0,POST,0,application/x-www-form-urlencoded,1,3.9053,1,1,mixed,0.5111,0
1,0,Lax,1,1,POST,1,application/x-www-form-urlencoded,0,5.479,1,1,cookie,0.1858,0
1,1,Strict,1,1,POST,1,application/json,1,5.3341,1,0,mixed,0.5047,0
0,1,Lax,1,1,DELETE,1,application/json,1,5.3262,1,1,mixed,0.3432,0
1,0,Lax,1,0,PATCH,1,multipart/form-data,1,4.471,1,0,cookie,0.509,0
0,0,absent,0,0,PUT,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.8762,1
0,0,absent,0,0,GET,0,application/x-www-form-urlencoded,1,0.0,0,0,cookie,0.6057,1
0,0,absent,0,0,GET,0,application/json,1,0.0,0,1,mixed,0.5006,1
1,1,Strict,1,1,PUT,1,application/json,0,5.2939,1,1,cookie,0.1166,0
0,0,absent,0,0,DELETE,1,application/json,1,0.0,0,1,cookie,0.5875,1
0,0,None,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.5736,1
0,0,absent,0,0,POST,1,application/x-www-form-urlencoded,1,0.0,0,0,mixed,0.7834,1
1,1,Strict,1,1,POST,1,application/json,1,4.8945,1,0,mixed,0.1908,0
1,1,Strict,1,0,POST,1,application/json,1,4.3457,1,1,cookie,0.407,0
1,1,Strict,0,0,POST,1,text/plain,1,4.8676,1,0,none,0.6597,0
0,0,absent,0,0,PUT,1,application/x-www-form-urlencoded,1,0.0,0,0,cookie,0.7966,1
0,0,absent,0,0,POST,1,text/plain,0,0.0,0,1,none,0.7408,1
0,0,absent,0,0,PATCH,1,multipart/form-data,0,0.0,0,1,cookie,0.8567,1
0,0,absent,0,0,PUT,1,application/json,1,0.0,0,1,cookie,0.6822,1
0,0,absent,0,0,PUT,1,application/json,1,0.0,0,0,cookie,0.5443,1
0,0,None,0,0,PATCH,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.9436,1
1,1,Lax,1,0,GET,0,application/x-www-form-urlencoded,0,5.3154,1,0,mixed,0.3023,0
1,0,Strict,1,0,POST,1,application/x-www-form-urlencoded,1,4.601,1,0,cookie,0.1255,0
1,0,Strict,0,0,POST,1,application/x-www-form-urlencoded,1,4.9134,1,0,cookie,0.127,0
0,1,Strict,1,1,PATCH,1,application/x-www-form-urlencoded,1,4.7431,1,0,none,0.6691,0
0,0,None,0,0,PATCH,1,application/json,1,0.0,0,1,cookie,0.7642,1
0,0,absent,0,0,PATCH,1,multipart/form-data,1,0.0,0,1,cookie,0.7769,1
0,0,absent,0,0,PUT,1,application/x-www-form-urlencoded,1,0.0,0,1,cookie,0.6692,1
